/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/6040/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/1.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/5320/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/2.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/23700/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/3.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/51660/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/4.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/25680/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/5.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/36000/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/6.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/9460/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/7.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/6180/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/8.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/10100/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/9.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/39720/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/10.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/7780/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/11.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/31680/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/12.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/11980/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/13.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/3300/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/14.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/32520/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/15.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/47160/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/16.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/15220/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/17.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/19320/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/18.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/9600/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/19.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/3960/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/20.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/42420/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/21.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/300/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/22.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/9860/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/23.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/25440/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/24.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/35400/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/25.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/29100/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/26.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/33180/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/27.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/16100/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/28.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/42000/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/29.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/600/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/30.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/46680/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/31.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/7640/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/32.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/43020/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/33.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/29880/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/34.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/24840/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/35.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/9160/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/36.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/6420/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/37.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/48300/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/38.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/4240/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/39.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/12600/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/40.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/15680/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/41.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/9580/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/42.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/14620/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/43.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/49500/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/44.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/10960/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/45.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/12200/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/46.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/15080/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/47.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/46560/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/48.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/13240/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/49.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/16880/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/50.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/40860/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/51.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/7000/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/52.png
/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/clips/0313-1/29400/20.jpg,/media/aaditya/New Volume/internship_files/datasets/tusimple_dataset/train_set/binary_gt/53.png
